Date,Close
3/2/2015 16:00:00,129.09
3/3/2015 16:00:00,129.36
3/4/2015 16:00:00,128.54
3/5/2015 16:00:00,126.41
3/6/2015 16:00:00,126.6
3/9/2015 16:00:00,127.14
3/10/2015 16:00:00,124.51
3/11/2015 16:00:00,122.24
3/12/2015 16:00:00,124.45
3/13/2015 16:00:00,123.59
3/16/2015 16:00:00,124.95
3/17/2015 16:00:00,127.04
3/18/2015 16:00:00,128.47
3/19/2015 16:00:00,127.5
3/20/2015 16:00:00,125.9
3/23/2015 16:00:00,127.21
3/24/2015 16:00:00,126.69
3/25/2015 16:00:00,123.38
3/26/2015 16:00:00,124.24
3/27/2015 16:00:00,123.25
3/30/2015 16:00:00,126.37
3/31/2015 16:00:00,124.43
4/1/2015 16:00:00,124.25
4/2/2015 16:00:00,125.32
4/6/2015 16:00:00,127.35
4/7/2015 16:00:00,126.01
4/8/2015 16:00:00,125.6
4/9/2015 16:00:00,126.56
4/10/2015 16:00:00,127.1
4/13/2015 16:00:00,126.85
4/14/2015 16:00:00,126.3
4/15/2015 16:00:00,126.78
4/16/2015 16:00:00,126.17
4/17/2015 16:00:00,124.75
4/20/2015 16:00:00,127.6
4/21/2015 16:00:00,126.91
4/22/2015 16:00:00,128.62
4/23/2015 16:00:00,129.67
4/24/2015 16:00:00,130.28
4/27/2015 16:00:00,132.65
4/28/2015 16:00:00,130.56
4/29/2015 16:00:00,128.64
4/30/2015 16:00:00,125.15
5/1/2015 16:00:00,128.95
5/4/2015 16:00:00,128.7
5/5/2015 16:00:00,125.8
5/6/2015 16:00:00,125.01
5/7/2015 16:00:00,125.26
5/8/2015 16:00:00,127.62
5/11/2015 16:00:00,126.32
5/12/2015 16:00:00,125.87
5/13/2015 16:00:00,126.01
5/14/2015 16:00:00,128.95
5/15/2015 16:00:00,128.77
5/18/2015 16:00:00,130.19
5/19/2015 16:00:00,130.07
5/20/2015 16:00:00,130.06
5/21/2015 16:00:00,131.39
5/22/2015 16:00:00,132.54
5/26/2015 16:00:00,129.62
5/27/2015 16:00:00,132.04
5/28/2015 16:00:00,131.78
5/29/2015 16:00:00,130.28
6/1/2015 16:00:00,130.54
6/2/2015 16:00:00,129.96
6/3/2015 16:00:00,130.12
6/4/2015 16:00:00,129.36
6/5/2015 16:00:00,128.65
6/8/2015 16:00:00,127.8
6/9/2015 16:00:00,127.42
6/10/2015 16:00:00,128.88
6/11/2015 16:00:00,128.59
6/12/2015 16:00:00,127.17
6/15/2015 16:00:00,126.92
6/16/2015 16:00:00,127.6
6/17/2015 16:00:00,127.3
6/18/2015 16:00:00,127.88
6/19/2015 16:00:00,126.6
6/22/2015 16:00:00,127.61
6/23/2015 16:00:00,127.03
6/24/2015 16:00:00,128.11
6/25/2015 16:00:00,127.5
6/26/2015 16:00:00,126.75
6/29/2015 16:00:00,124.53
6/30/2015 16:00:00,125.43
7/1/2015 16:00:00,126.6
7/2/2015 16:00:00,126.44
7/6/2015 16:00:00,126
7/7/2015 16:00:00,125.69
7/8/2015 16:00:00,122.57
7/9/2015 16:00:00,120.07
7/10/2015 16:00:00,123.28
7/13/2015 16:00:00,125.66
7/14/2015 16:00:00,125.61
7/15/2015 16:00:00,126.82
7/16/2015 16:00:00,128.51
7/17/2015 16:00:00,129.62
7/20/2015 16:00:00,132.07
7/21/2015 16:00:00,130.75
7/22/2015 16:00:00,125.22
7/23/2015 16:00:00,125.16
7/24/2015 16:00:00,124.5
7/27/2015 16:00:00,122.77
7/28/2015 16:00:00,123.38
7/29/2015 16:00:00,122.99
7/30/2015 16:00:00,122.37
7/31/2015 16:00:00,121.3
8/3/2015 16:00:00,118.44
8/4/2015 16:00:00,114.64
8/5/2015 16:00:00,115.4
8/6/2015 16:00:00,115.13
8/7/2015 16:00:00,115.52
8/10/2015 16:00:00,119.72
8/11/2015 16:00:00,113.49
8/12/2015 16:00:00,115.24
8/13/2015 16:00:00,115.15
8/14/2015 16:00:00,115.96
8/17/2015 16:00:00,117.16
8/18/2015 16:00:00,116.5
8/19/2015 16:00:00,115.01
8/20/2015 16:00:00,112.65
8/21/2015 16:00:00,105.76
8/24/2015 16:00:00,103.12
8/25/2015 16:00:00,103.74
8/26/2015 16:00:00,109.69
8/27/2015 16:00:00,112.92
8/28/2015 16:00:00,113.29
8/31/2015 16:00:00,112.76
9/1/2015 16:00:00,107.72
9/2/2015 16:00:00,112.34
9/3/2015 16:00:00,110.37
9/4/2015 16:00:00,109.27
9/8/2015 16:00:00,112.31
9/9/2015 16:00:00,110.15
9/10/2015 16:00:00,112.57
9/11/2015 16:00:00,114.21
9/14/2015 16:00:00,115.31
9/15/2015 16:00:00,116.28
9/16/2015 16:00:00,116.41
9/17/2015 16:00:00,113.92
9/18/2015 16:00:00,113.45
9/21/2015 16:00:00,115.21
9/22/2015 16:00:00,113.4
9/23/2015 16:00:00,114.32
9/24/2015 16:00:00,115
9/25/2015 16:00:00,114.71
9/28/2015 16:00:00,112.44
9/29/2015 16:00:00,109.06
9/30/2015 16:00:00,110.3
10/1/2015 16:00:00,109.58
10/2/2015 16:00:00,110.38
10/5/2015 16:00:00,110.78
10/6/2015 16:00:00,111.31
10/7/2015 16:00:00,110.78
10/8/2015 16:00:00,109.5
10/9/2015 16:00:00,112.12
10/12/2015 16:00:00,111.6
10/13/2015 16:00:00,111.79
10/14/2015 16:00:00,110.21
10/15/2015 16:00:00,111.86
10/16/2015 16:00:00,111.04
10/19/2015 16:00:00,111.73
10/20/2015 16:00:00,113.77
10/21/2015 16:00:00,113.76
10/22/2015 16:00:00,115.5
10/23/2015 16:00:00,119.08
10/26/2015 16:00:00,115.28
10/27/2015 16:00:00,114.55
10/28/2015 16:00:00,119.27
10/29/2015 16:00:00,120.53
10/30/2015 16:00:00,119.5
11/2/2015 16:00:00,121.18
11/3/2015 16:00:00,122.57
11/4/2015 16:00:00,122
11/5/2015 16:00:00,120.92
11/6/2015 16:00:00,121.06
11/9/2015 16:00:00,120.57
11/10/2015 16:00:00,116.77
11/11/2015 16:00:00,116.11
11/12/2015 16:00:00,115.72
11/13/2015 16:00:00,112.34
11/16/2015 16:00:00,114.18
11/17/2015 16:00:00,113.69
11/18/2015 16:00:00,117.29
